50, 108
258, 258
89, 175
135, 175
199, 172
243, 168
37, 177
42, 210
47, 242
55, 274
69, 304
91, 328
119, 348
148, 362
177, 364
206, 358
232, 342
255, 321
273, 294
283, 264
286, 232
287, 200
287, 168
60, 159
75, 140
100, 133
125, 135
150, 142
182, 141
204, 131
228, 127
252, 131
267, 148
167, 165
168, 186
170, 207
171, 228
146, 246
158, 249
172, 251
185, 248
197, 244
89, 175
103, 168
119, 166
135, 175
119, 179
103, 180
199, 172
213, 163
229, 163
243, 168
230, 175
214, 175
125, 288
143, 282
161, 276
174, 278
185, 274
203, 277
221, 283
205, 296
188, 302
176, 304
163, 304
145, 301
133, 288
161, 286
174, 287
185, 285
214, 284
187, 288
175, 290
163, 289
