(455, 268)
(459, 291)
(462, 311)
(467, 332)
(476, 350)
(491, 364)
(509, 375)
(527, 385)
(547, 387)
(566, 382)
(582, 370)
(598, 356)
(610, 339)
(617, 319)
(618, 296)
(618, 274)
(618, 250)
(465, 248)
(472, 237)
(485, 232)
(498, 234)
(512, 238)
(547, 234)
(561, 227)
(577, 222)
(592, 224)
(602, 234)
(531, 250)
(533, 261)
(534, 272)
(535, 284)
(520, 295)
(528, 297)
(537, 298)
(546, 295)
(554, 292)
(483, 259)
(492, 253)
(501, 253)
(511, 258)
(502, 259)
(492, 260)
(556, 253)
(564, 246)
(574, 245)
(583, 248)
(575, 250)
(565, 252)
(506, 327)
(516, 316)
(530, 312)
(540, 312)
(550, 310)
(565, 312)
(580, 320)
(569, 340)
(555, 348)
(543, 350)
(532, 349)
(518, 344)
(511, 327)
(530, 316)
(541, 316)
(551, 314)
(575, 320)
(553, 339)
(542, 341)
(531, 340)
